basin_name,b
Aral Sea,XXX Aral Sea XXX
Cestos,XXX Cestos XXX
Helmand,XXX Helmand XXX
Indus,XXX Indus XXX
Akpa,XXX Akpa XXX
Alsek,XXX Alsek XXX
Amacuro,XXX Amacuro XXX
Amur,XXX Amur XXX
An Nahr Al Kabir,XXX An Nahr Al Kabir XXX
Asi/Orontes,XXX Asi/Orontes XXX
Artibonite,XXX Artibonite XXX
Astara Chay,XXX Astara Chay XXX
Atrak,XXX Atrak XXX
Aviles,XXX Aviles XXX
Awash,XXX Awash XXX
Aysen,XXX Aysen XXX
Baker,XXX Baker XXX
Bann,XXX Bann XXX
Bidasoa,XXX Bidasoa XXX
Benito/Ntem,XXX Benito/Ntem XXX
Bia,XXX Bia XXX
Beilun,XXX Beilun XXX
Belize,XXX Belize XXX
Bangau,XXX Bangau XXX
Baraka,XXX Baraka XXX
Barima,XXX Barima XXX
Barta,XXX Barta XXX
Buzi,XXX Buzi XXX
Candelaria,XXX Candelaria XXX
Changuinola,XXX Changuinola XXX
Carmen Silva/Chico,XXX Carmen Silva/Chico XXX
Chira,XXX Chira XXX
Choluteca,XXX Choluteca XXX
Chuy,XXX Chuy XXX
Chilkat,XXX Chilkat XXX
Columbia,XXX Columbia XXX
Chiloango,XXX Chiloango XXX
Cancoso/Lauca,XXX Cancoso/Lauca XXX
Congo/Zaire,XXX Congo/Zaire XXX
Coco/Segovia,XXX Coco/Segovia XXX
Comau,XXX Comau XXX
Cross,XXX Cross XXX
Coruh,XXX Coruh XXX
Castletown,XXX Castletown XXX
Coatan Achute,XXX Coatan Achute XXX
Catatumbo,XXX Catatumbo XXX
Cullen,XXX Cullen XXX
Cavally,XXX Cavally XXX
Daoura,XXX Daoura XXX
Dnieper,XXX Dnieper XXX
Dniester,XXX Dniester XXX
Don,XXX Don XXX
Dragonja,XXX Dragonja XXX
Dra,XXX Dra XXX
Dasht,XXX Dasht XXX
Daugava,XXX Daugava XXX
Douro/Duero,XXX Douro/Duero XXX
Ebro,XXX Ebro XXX
Elancik,XXX Elancik XXX
Erne,XXX Erne XXX
Cuvelai/Etosha,XXX Cuvelai/Etosha XXX
Fane,XXX Fane XXX
Flurry,XXX Flurry XXX
Fenney,XXX Fenney XXX
Foyle,XXX Foyle XXX
Fraser,XXX Fraser XXX
Firth,XXX Firth XXX
Gash,XXX Gash XXX
Grijalva,XXX Grijalva XXX
Glama,XXX Glama XXX
Golok,XXX Golok XXX
Goascoran,XXX Goascoran XXX
Garonne,XXX Garonne XXX
Great Scarcies,XXX Great Scarcies XXX
Guadiana,XXX Guadiana XXX
Guir,XXX Guir XXX
Gauja,XXX Gauja XXX
Han,XXX Han XXX
Hari/Harirud,XXX Hari/Harirud XXX
Hamun-i-Mashkel/Rakshan,XXX Hamun-i-Mashkel/Rakshan XXX
Hondo,XXX Hondo XXX
Bei Jiang/Hsi,XXX Bei Jiang/Hsi XXX
Incomati,XXX Incomati XXX
Ili/Kunes He,XXX Ili/Kunes He XXX
Isonzo,XXX Isonzo XXX
Jayapura,XXX Jayapura XXX
Jacobs,XXX Jacobs XXX
Jordan,XXX Jordan XXX
Juba-Shibeli,XXX Juba-Shibeli XXX
Jurado,XXX Jurado XXX
Kaladan,XXX Kaladan XXX
Kemi,XXX Kemi XXX
Kogilnik,XXX Kogilnik XXX
Komoe,XXX Komoe XXX
Karnaphuli,XXX Karnaphuli XXX
Kowl E Namaksar,XXX Kowl E Namaksar XXX
Krka,XXX Krka XXX
Klaralven,XXX Klaralven XXX
Kunene,XXX Kunene XXX
Kura-Araks,XXX Kura-Araks XXX
Lava/Pregel,XXX Lava/Pregel XXX
Lotagipi Swamp,XXX Lotagipi Swamp XXX
Lima,XXX Lima XXX
Lake Chad,XXX Lake Chad XXX
Lake Fagnano,XXX Lake Fagnano XXX
Lake Natron,XXX Lake Natron XXX
Lake Titicaca-Poopo System,XXX Lake Titicaca-Poopo System XXX
Lake Turkana,XXX Lake Turkana XXX
Lake Ubsa-Nur,XXX Lake Ubsa-Nur XXX
Lielupe,XXX Lielupe XXX
Lough Melvin,XXX Lough Melvin XXX
Lempa,XXX Lempa XXX
Limpopo,XXX Limpopo XXX
Lagoon Dos Patos-Lagoon Mirim,XXX Lagoon Dos Patos-Lagoon Mirim XXX
Loes,XXX Loes XXX
Loffa,XXX Loffa XXX
Little Scarcies,XXX Little Scarcies XXX
Mana-Morro,XXX Mana-Morro XXX
Maro,XXX Maro XXX
Massacre,XXX Massacre XXX
Mbe,XXX Mbe XXX
Medjerda,XXX Medjerda XXX
Mekong,XXX Mekong XXX
Muhuri (aka Little Feni),XXX Muhuri (aka Little Feni) XXX
Mino,XXX Mino XXX
Mira,XXX Mira XXX
Mius,XXX Mius XXX
Moa,XXX Moa XXX
Moho,XXX Moho XXX
Mono,XXX Mono XXX
Motaqua,XXX Motaqua XXX
Murgab,XXX Murgab XXX
Maritsa,XXX Maritsa XXX
Naatamo,XXX Naatamo XXX
Negro,XXX Negro XXX
Nelson-Saskatchewan,XXX Nelson-Saskatchewan XXX
Nahr El Kebir,XXX Nahr El Kebir XXX
Neman,XXX Neman XXX
Neretva,XXX Neretva XXX
Narva,XXX Narva XXX
Nestos,XXX Nestos XXX
Nyanga,XXX Nyanga XXX
Oued Bon Naima,XXX Oued Bon Naima XXX
Oder/Odra,XXX Oder/Odra XXX
Ogooue,XXX Ogooue XXX
Okavango,XXX Okavango XXX
Olanga,XXX Olanga XXX
Oral/Ural,XXX Oral/Ural XXX
Orange,XXX Orange XXX
Oueme,XXX Oueme XXX
Oulu,XXX Oulu XXX
Oiapoque/Oyupock,XXX Oiapoque/Oyupock XXX
Pangani,XXX Pangani XXX
Paz,XXX Paz XXX
Pedernales,XXX Pedernales XXX
Pakchan,XXX Pakchan XXX
Palena,XXX Palena XXX
Pandaruan,XXX Pandaruan XXX
Po,XXX Po XXX
Prohladnaja,XXX Prohladnaja XXX
Parnu,XXX Parnu XXX
Pascua,XXX Pascua XXX
Psou,XXX Psou XXX
Pasvik,XXX Pasvik XXX
Patia,XXX Patia XXX
Puelo,XXX Puelo XXX
Pu Lun T'o,XXX Pu Lun T'o XXX
Red/Song Hong,XXX Red/Song Hong XXX
Rezvaya,XXX Rezvaya XXX
Rio Grande (North America),XXX Rio Grande (North America) XXX
Rio Grande (South America),XXX Rio Grande (South America) XXX
Rhone,XXX Rhone XXX
Roia,XXX Roia XXX
Sabi,XXX Sabi XXX
Salaca,XXX Salaca XXX
Samur,XXX Samur XXX
Sanaga,XXX Sanaga XXX
Sassandra,XXX Sassandra XXX
Sebuku,XXX Sebuku XXX
Seine,XXX Seine XXX
Senegal,XXX Senegal XXX
Seno Union/Serrano,XXX Seno Union/Serrano XXX
Sepik,XXX Sepik XXX
Shu/Chu,XXX Shu/Chu XXX
Sixaola,XXX Sixaola XXX
St. John (North America),XXX St. John (North America) XXX
San Juan,XXX San Juan XXX
Skagit,XXX Skagit XXX
St. Lawrence,XXX St. Lawrence XXX
San Martin,XXX San Martin XXX
Sembakung,XXX Sembakung XXX
St. Paul,XXX St. Paul XXX
Sarata,XXX Sarata XXX
Sarstun,XXX Sarstun XXX
Stikine,XXX Stikine XXX
Struma,XXX Struma XXX
Suchiate,XXX Suchiate XXX
Sujfun,XXX Sujfun XXX
Tafna,XXX Tafna XXX
Tagus/Tejo,XXX Tagus/Tejo XXX
Taku,XXX Taku XXX
Talas,XXX Talas XXX
Tami,XXX Tami XXX
Tana,XXX Tana XXX
Tano,XXX Tano XXX
Temash,XXX Temash XXX
Terek,XXX Terek XXX
Tijuana,XXX Tijuana XXX
Tjeroaka-Wanggoe,XXX Tjeroaka-Wanggoe XXX
Torne/Tornealven,XXX Torne/Tornealven XXX
Tarim,XXX Tarim XXX
Tuloma,XXX Tuloma XXX
Tumbes,XXX Tumbes XXX
Umba,XXX Umba XXX
Utamboni,XXX Utamboni XXX
Vanimo-Green,XXX Vanimo-Green XXX
Valdivia,XXX Valdivia XXX
Venta,XXX Venta XXX
Vijose,XXX Vijose XXX
Velaka,XXX Velaka XXX
Volga,XXX Volga XXX
Vardar,XXX Vardar XXX
Vistula/Wista,XXX Vistula/Wista XXX
Vuoksa,XXX Vuoksa XXX
Whiting,XXX Whiting XXX
Wiedau,XXX Wiedau XXX
Yalu,XXX Yalu XXX
Yaqui,XXX Yaqui XXX
Yelcho,XXX Yelcho XXX
Jenisej/Yenisey,XXX Jenisej/Yenisey XXX
Yser,XXX Yser XXX
Yukon,XXX Yukon XXX
Zapaleri,XXX Zapaleri XXX
Essequibo,XXX Essequibo XXX
Amazon,XXX Amazon XXX
Lake Prespa,XXX Lake Prespa XXX
Elbe,XXX Elbe XXX
Zambezi,XXX Zambezi XXX
Zarumilla,XXX Zarumilla XXX
Niger,XXX Niger XXX
Gambia,XXX Gambia XXX
Pungwe,XXX Pungwe XXX
Mississippi,XXX Mississippi XXX
Gallegos/Chico,XXX Gallegos/Chico XXX
La Plata,XXX La Plata XXX
Orinoco,XXX Orinoco XXX
Digul,XXX Digul XXX
Maputo,XXX Maputo XXX
Nile,XXX Nile XXX
Drin,XXX Drin XXX
Adige,XXX Adige XXX
Annole,XXX Annole XXX
Bahr at Tubat,XXX Bahr at Tubat XXX
Oued Bou Namoussa,XXX Oued Bou Namoussa XXX
Caetani,XXX Caetani XXX
Cetina,XXX Cetina XXX
Connecticut,XXX Connecticut XXX
Copper,XXX Copper XXX
Galana,XXX Galana XXX
Gruzskiy Yelanchik,XXX Gruzskiy Yelanchik XXX
Indalsalven,XXX Indalsalven XXX
Laguna Filaret,XXX Laguna Filaret XXX
Lak Dera,XXX Lak Dera XXX
Lake Azuei,XXX Lake Azuei XXX
Lake Cayo,XXX Lake Cayo XXX
Lake Chilwa,XXX Lake Chilwa XXX
Lake Enriquillo,XXX Lake Enriquillo XXX
Lake Rukwa,XXX Lake Rukwa XXX
Lake Sarygamesh,XXX Lake Sarygamesh XXX
Lucia,XXX Lucia XXX
Narynka,XXX Narynka XXX
Nidelva,XXX Nidelva XXX
Peschanaya,XXX Peschanaya XXX
Poldnevaya,XXX Poldnevaya XXX
Rach Giang Thanh,XXX Rach Giang Thanh XXX
Santa Clara,XXX Santa Clara XXX
Song Tien Yen,XXX Song Tien Yen XXX
Berbyelva,XXX Berbyelva XXX
Umbeluzi,XXX Umbeluzi XXX
Unuk,XXX Unuk XXX
Vecht,XXX Vecht XXX
Vefsna,XXX Vefsna XXX
Angerman,XXX Angerman XXX
Colorado,XXX Colorado XXX
"Connecticut
Connecticut
Connecticut","XXX Connecticut
Connecticut
Connecticut XXX"
Danube,XXX Danube XXX
Fly,XXX Fly XXX
Ganges-Brahmaputra-Meghna,XXX Ganges-Brahmaputra-Meghna XXX
Geba-Corubal,XXX Geba-Corubal XXX
Mataje,XXX Mataje XXX
Rann of Kutch,XXX Rann of Kutch XXX
Rhine-Meuse,XXX Rhine-Meuse XXX
Ruvuma,XXX Ruvuma XXX
Nha Be-Saigon-Song Vam Co Dong,XXX Nha Be-Saigon-Song Vam Co Dong XXX
St. Croix,XXX St. Croix XXX
Schelde,XXX Schelde XXX
St. John (Africa),XXX St. John (Africa) XXX
Tumen,XXX Tumen XXX
Volta,XXX Volta XXX
Corantijn/Courantyne,XXX Corantijn/Courantyne XXX
Har Us Nur,XXX Har Us Nur XXX
Maroni,XXX Maroni XXX
Ob,XXX Ob XXX
Sulak,XXX Sulak XXX
Alakol,XXX Alakol XXX
Ca/Song Lam,XXX Ca/Song Lam XXX
Irrawaddy,XXX Irrawaddy XXX
Ma,XXX Ma XXX
Salween,XXX Salween XXX
Tigris-Euphrates/Shatt al Arab,XXX Tigris-Euphrates/Shatt al Arab XXX
Naaf River,XXX Naaf River XXX
NA,XXX NA XXX
